B1	fast	0	历史 96 段：跑完 53、以已知红收尾 {0: 43}、新发现 0；根环转过一圈的 59 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：43 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：0 段		8.2s
B2	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		8.1s
B3	fast	0	历史 96 段：跑完 58、以已知红收尾 {0: 36, 1: 2}、新发现 0；根环转过一圈的 64 段；最高 txg 52	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：36 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：2 段		8.4s
B4	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		8.1s
B5	fast	0	历史 96 段：跑完 50、以已知红收尾 {0: 44, 1: 2}、新发现 0；根环转过一圈的 64 段；最高 txg 52	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：44 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：2 段		8.4s
N1	fast	101	历史 96 段：跑完 37、以已知红收尾 {0: 46, 1: 1}、新发现 12；根环转过一圈的 56 段；最高 txg 32	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：46 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：46 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段	新发现 Panic { location: "crates/singlefs-core/src/allocator.rs:529" }：第一个种子 7（同签名的种子 [7, 46, 54, 62, 68, 69, 71]），在 Operation(23)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-3.1"] }：第一个种子 15（同签名的种子 [15, 26, 38, 56, 94]），在 Operation(29)（Some(CloseAndMountWritable)）之后 ; 新发现 Panic { location: "crates/singlefs-core/src/allocator.rs:529" }：第一个种子 7（同签名的种子 [7, 46, 54, 62, 68, 69, 71]），在 Operation(23)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-3.1"] }：第一个种子 15（同签名的种子 [15, 26, 38, 56, 94]），在 Operation(29)（Some(CloseAndMountWritable)）之后	7.6s
N2	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		8.2s
N3	fast	101	历史 96 段：跑完 33、以已知红收尾 {0: 44, 1: 1}、新发现 18；根环转过一圈的 48 段；最高 txg 29	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：44 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：44 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段	新发现 CheckerViolations { invariants: ["I-3.9"] }：第一个种子 3（同签名的种子 [3, 7, 15, 20, 26, 27, 38, 46, 51, 54, 56, 57, 62, 66, 68, 69, 71, 94]），在 Operation(25)（Some(PublishOverwrite)）之后 ; 新发现 CheckerViolations { invariants: ["I-3.9"] }：第一个种子 3（同签名的种子 [3, 7, 15, 20, 26, 27, 38, 46, 51, 54, 56, 57, 62, 66, 68, 69, 71, 94]），在 Operation(25)（Some(PublishOverwrite)）之后	6.4s
N4	fast	101	历史 96 段：跑完 40、以已知红收尾 {0: 46, 1: 1}、新发现 9；根环转过一圈的 58 段；最高 txg 32	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：46 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：46 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段	新发现 Panic { location: "crates/singlefs-core/src/allocator.rs:549" }：第一个种子 7（同签名的种子 [7, 46, 54, 56, 62, 68, 69, 71, 94]），在 Operation(23)（Some(CloseAndMountWritable)）之后 ; 新发现 Panic { location: "crates/singlefs-core/src/allocator.rs:549" }：第一个种子 7（同签名的种子 [7, 46, 54, 56, 62, 68, 69, 71, 94]），在 Operation(23)（Some(CloseAndMountWritable)）之后	6.4s
N5	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		6.7s
